Country,Month,Electricity_Consumption,Month_Num,Year,Formatted_Date,Image_Filename,Image_Exists
United States of America,M7,433110,7,2023,M7 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M7.jpg,True
United States of America,M6,364080,6,2023,M6 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M6.jpg,True
United States of America,M5,334950,5,2023,M5 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M5.jpg,True
United States of America,M4,306260,4,2023,M4 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M4.jpg,True
United States of America,M3,335790,3,2023,M3 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M3.jpg,True
United States of America,M2,313510,2,2023,M2 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M2.jpg,True
United States of America,M1,351810,1,2023,M1 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M1.jpg,True
United States of America,M12,363390,12,2022,M12 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M12.jpg,True
United States of America,M11,325410,11,2022,M11 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M11.jpg,True
United States of America,M10,318530,10,2022,M10 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M10.jpg,True
United States of America,M9,356710,9,2022,M9 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M9.jpg,True
United States of America,M8,417930,8,2022,M8 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M8.jpg,True
United States of America,M7,429100,7,2022,M7 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M7.jpg,True
United States of America,M6,384850,6,2022,M6 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M6.jpg,True
United States of America,M5,347970,5,2022,M5 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M5.jpg,True
United States of America,M4,309300,4,2022,M4 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M4.jpg,True
United States of America,M3,329340,3,2022,M3 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M3.jpg,True
United States of America,M2,327570,2,2022,M2 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M2.jpg,True
United States of America,M1,376780,1,2022,M1 2022,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2022_M1.jpg,True
United States of America,M12,339690,12,2021,M12 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M12.jpg,True
United States of America,M11,316980,11,2021,M11 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M11.jpg,True
United States of America,M10,323570,10,2021,M10 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M10.jpg,True
United States of America,M9,351660,9,2021,M9 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M9.jpg,True
United States of America,M8,417220,8,2021,M8 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M8.jpg,True
United States of America,M7,410310,7,2021,M7 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M7.jpg,True
United States of America,M6,378690,6,2021,M6 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M6.jpg,True
United States of America,M5,324900,5,2021,M5 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M5.jpg,True
United States of America,M4,297680,4,2021,M4 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M4.jpg,True
United States of America,M3,315110,3,2021,M3 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M3.jpg,True
United States of America,M2,326360,2,2021,M2 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M2.jpg,True
United States of America,M1,351460,1,2021,M1 2021,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2021_M1.jpg,True
United States of America,M12,346260,12,2020,M12 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M12.jpg,True
United States of America,M11,303490,11,2020,M11 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M11.jpg,True
United States of America,M10,316670,10,2020,M10 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M10.jpg,True
United States of America,M9,336710,9,2020,M9 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M9.jpg,True
United States of America,M8,401860,8,2020,M8 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M8.jpg,True
United States of America,M7,413310,7,2020,M7 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M7.jpg,True
United States of America,M6,355380,6,2020,M6 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M6.jpg,True
United States of America,M5,308450,5,2020,M5 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M5.jpg,True
United States of America,M4,282970,4,2020,M4 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M4.jpg,True
United States of America,M3,312510,3,2020,M3 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M3.jpg,True
United States of America,M2,321810,2,2020,M2 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M2.jpg,True
United States of America,M1,343740,1,2020,M1 2020,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2020_M1.jpg,True
United States of America,M12,340200,12,2019,M12 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M12.jpg,True
United States of America,M11,317940,11,2019,M11 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M11.jpg,True
United States of America,M10,323200,10,2019,M10 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M10.jpg,True
United States of America,M9,363320,9,2019,M9 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M9.jpg,True
United States of America,M8,404570,8,2019,M8 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M8.jpg,True
United States of America,M7,413210,7,2019,M7 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M7.jpg,True
United States of America,M6,356230,6,2019,M6 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M6.jpg,True
United States of America,M5,333400,5,2019,M5 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M5.jpg,True
United States of America,M4,299720,4,2019,M4 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M4.jpg,True
United States of America,M3,329210,3,2019,M3 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M3.jpg,True
United States of America,M2,316570,2,2019,M2 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M2.jpg,True
United States of America,M1,360810,1,2019,M1 2019,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2019_M1.jpg,True
United States of America,M12,343360,12,2018,M12 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M12.jpg,True
United States of America,M11,323850,11,2018,M11 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M11.jpg,True
United States of America,M10,326990,10,2018,M10 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M10.jpg,True
United States of America,M9,358320,9,2018,M9 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M9.jpg,True
United States of America,M8,410370,8,2018,M8 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M8.jpg,True
United States of America,M7,413740,7,2018,M7 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M7.jpg,True
United States of America,M6,374300,6,2018,M6 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M6.jpg,True
United States of America,M5,341660,5,2018,M5 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M5.jpg,True
United States of America,M4,303080,4,2018,M4 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M4.jpg,True
United States of America,M3,323590,3,2018,M3 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M3.jpg,True
United States of America,M2,308160,2,2018,M2 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M2.jpg,True
United States of America,M1,374150,1,2018,M1 2018,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2018_M1.jpg,True
United States of America,M12,351420,12,2017,M12 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M12.jpg,True
United States of America,M11,309130,11,2017,M11 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M11.jpg,True
United States of America,M10,320320,10,2017,M10 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M10.jpg,True
United States of America,M9,337650,9,2017,M9 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M9.jpg,True
United States of America,M8,386700,8,2017,M8 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M8.jpg,True
United States of America,M7,406350,7,2017,M7 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M7.jpg,True
United States of America,M6,360360,6,2017,M6 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M6.jpg,True
United States of America,M5,325290,5,2017,M5 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M5.jpg,True
United States of America,M4,297380,4,2017,M4 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M4.jpg,True
United States of America,M3,320880,3,2017,M3 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M3.jpg,True
United States of America,M2,291960,2,2017,M2 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M2.jpg,True
United States of America,M1,344900,1,2017,M1 2017,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2017_M1.jpg,True
United States of America,M12,345930,12,2016,M12 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M12.jpg,True
United States of America,M11,297810,11,2016,M11 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M11.jpg,True
United States of America,M10,314120,10,2016,M10 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M10.jpg,True
United States of America,M9,352500,9,2016,M9 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M9.jpg,True
United States of America,M8,410840,8,2016,M8 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M8.jpg,True
United States of America,M7,413100,7,2016,M7 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M7.jpg,True
United States of America,M6,368950,6,2016,M6 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M6.jpg,True
United States of America,M5,317970,5,2016,M5 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M5.jpg,True
United States of America,M4,293880,4,2016,M4 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M4.jpg,True
United States of America,M3,305270,3,2016,M3 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M3.jpg,True
United States of America,M2,314200,2,2016,M2 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M2.jpg,True
United States of America,M1,353000,1,2016,M1 2016,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2016_M1.jpg,True
United States of America,M12,324890,12,2015,M12 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M12.jpg,True
United States of America,M11,301200,11,2015,M11 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M11.jpg,True
United States of America,M10,312770,10,2015,M10 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M10.jpg,True
United States of America,M9,350700,9,2015,M9 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M9.jpg,True
United States of America,M8,392830,8,2015,M8 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M8.jpg,True
United States of America,M7,401090,7,2015,M7 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M7.jpg,True
United States of America,M6,363250,6,2015,M6 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M6.jpg,True
United States of America,M5,322800,5,2015,M5 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M5.jpg,True
United States of America,M4,294840,4,2015,M4 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M4.jpg,True
United States of America,M3,324870,3,2015,M3 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M3.jpg,True
United States of America,M2,334430,2,2015,M2 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M2.jpg,True
United States of America,M1,360410,1,2015,M1 2015,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2015_M1.jpg,True
United States of America,M12,337830,12,2014,M12 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M12.jpg,True
United States of America,M11,317760,11,2014,M11 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M11.jpg,True
United States of America,M10,315140,10,2014,M10 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M10.jpg,True
United States of America,M9,340130,9,2014,M9 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M9.jpg,True
United States of America,M8,384680,8,2014,M8 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M8.jpg,True
United States of America,M7,386140,7,2014,M7 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M7.jpg,True
United States of America,M6,358080,6,2014,M6 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M6.jpg,True
United States of America,M5,325000,5,2014,M5 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M5.jpg,True
United States of America,M4,298040,4,2014,M4 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M4.jpg,True
United States of America,M3,331830,3,2014,M3 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M3.jpg,True
United States of America,M2,324350,2,2014,M2 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M2.jpg,True
United States of America,M1,377010,1,2014,M1 2014,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2014_M1.jpg,True
United States of America,M12,352310,12,2013,M12 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M12.jpg,True
United States of America,M11,313960,11,2013,M11 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M11.jpg,True
United States of America,M10,314130,10,2013,M10 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M10.jpg,True
United States of America,M9,339940,9,2013,M9 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M9.jpg,True
United States of America,M8,384170,8,2013,M8 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M8.jpg,True
United States of America,M7,393730,7,2013,M7 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M7.jpg,True
United States of America,M6,355750,6,2013,M6 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M6.jpg,True
United States of America,M5,321060,5,2013,M5 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M5.jpg,True
United States of America,M4,298700,4,2013,M4 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M4.jpg,True
United States of America,M3,324640,3,2013,M3 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M3.jpg,True
United States of America,M2,309080,2,2013,M2 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M2.jpg,True
United States of America,M1,348160,1,2013,M1 2013,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2013_M1.jpg,True
United States of America,M12,334070,12,2012,M12 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M12.jpg,True
United States of America,M11,305400,11,2012,M11 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M11.jpg,True
United States of America,M10,311160,10,2012,M10 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M10.jpg,True
United States of America,M9,333920,9,2012,M9 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M9.jpg,True
United States of America,M8,395030,8,2012,M8 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M8.jpg,True
United States of America,M7,414040,7,2012,M7 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M7.jpg,True
United States of America,M6,360250,6,2012,M6 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M6.jpg,True
United States of America,M5,336070,5,2012,M5 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M5.jpg,True
United States of America,M4,294920,4,2012,M4 2012,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2012_M4.jpg,True
